step,update,surrogate_loss_share_M,surrogate_loss_share_M1
256,1,0.5225082139174143,0.006089708729026218
512,2,0.5473810508847237,0.00438672085874714
768,3,0.5023945768674215,0.007721159995223085
1024,4,0.27662977079550427,0.0032239588132749
1280,5,0.5098222220937411,0.004928763383456196
1536,6,0.4845837006966273,0.006159270104641716
1792,7,0.7227814296881357,0.012380471142629782
2048,8,0.6585016498963038,0.013333643165727457
2304,9,0.3664071758588155,0.007835650350898504
2560,10,0.5909140383203825,0.011139570347343883
2816,11,0.29598578810691833,0.005217456491664052
3072,12,0.5670017600059509,0.0081319595919922
3328,13,0.48949074000120163,0.008885640835311884
3584,14,0.24449228992064795,0.0012514523890179892
3840,15,0.4155760854482651,0.004249339845652382
4096,16,0.55568295220534,0.01072562908908973
4352,17,0.2785515983899434,0.0033882195129990578
4608,18,0.5327582831184069,0.006292932521319017
4864,19,0.6599613726139069,0.014360817110476395
5120,20,0.47040949761867523,0.005373207541803519
5376,21,0.41967151562372845,0.004352363389140616
5632,22,0.7902119159698486,0.01275626476854086
5888,23,0.40269627670447034,0.004532918566837907
6144,24,0.5849665155013403,0.009427682729437947
6400,25,0.5582761516173681,0.008779735362622887
6656,26,0.5046144289275011,0.00927767458172942
6912,27,0.3515627334515254,0.0037106166079562777
7168,28,0.43430811663468677,0.007212024259691437
7424,29,0.496416375041008,0.007118870581810673
7680,30,0.4336978644132614,0.007655177459431191
7936,31,0.27298107743263245,0.0029973461447904506
8192,32,0.4341134876012802,0.008961943443864584
8448,33,0.4624723295370738,0.0046808258242284255
8704,34,0.5959470793604851,0.004834364585500832
8960,35,0.48758435994386673,0.004040153144160286
9216,36,0.48840844134489697,0.00466742161855412
9472,37,0.31655193120241165,0.0014639580428289871
9728,38,0.407090296347936,0.004960527798781793
9984,39,0.3620300044616063,0.0020337445312179625
10240,40,0.21524256964524588,0.0012113287618073325
10496,41,0.22576034938295683,0.0008515953474367658
10752,42,0.6714400947093964,0.009070243259581426
11008,43,0.20581281185150146,0.0008713754602164651
11264,44,0.4970787763595581,0.003939154907129705
11520,45,0.19083737333615622,0.0008906049576277534
11776,46,0.274246650437514,0.0013424353771066915
12032,47,0.4887371075650056,0.005311355756324095
12288,48,0.19332925913234553,0.0006657315583045905
12544,49,0.3071581721305847,0.001737855258397758
12800,50,0.7414992948373159,0.010935117936848352
13056,51,0.23847293791671595,0.0012351257209957112
13312,52,0.0,0.0
13568,53,0.0,0.0
13824,54,0.0,0.0
14080,55,0.0,0.0
14336,56,0.3047222743431727,0.007014748019476731
14592,57,0.4788294906417529,0.002635984196482847
14848,58,0.35178323027988273,0.002011425452413581
