seed,checkpoint_label,checkpoint_timesteps,n_frames,pi_move_mean,pi_move_std,pi_pass_mean,pi_pass_std,pi_shot_mean,pi_shot_std,pi_tackle_mean,pi_tackle_std,pi_dribble_mean,pi_dribble_std,entropy_mean,entropy_std,entropy_median,delta_pass_move_mean,delta_pass_move_std,delta_shot_move_mean,delta_shot_move_std,mask_sum_mean,mask_pass_legal_rate,mask_shot_legal_rate,top1_prob_mean,top1_prob_median
42,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_mixscript_15000.pt,746,0.5403783321380615,0.03087018057703972,0.1371847689151764,0.012683657929301262,0.04443250969052315,0.013691214844584465,0.0,0.0,0.03661029785871506,0.01265832968056202,2.7945213317871094,0.028631307184696198,2.8023295402526855,-0.6725054383277893,0.2935992181301117,-0.9736336469650269,0.42337170243263245,18.0,1.0,1.0,0.12426631897687912,0.11892037093639374
42,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_freshtrain_50176.pt,883,0.4906010627746582,0.06082119792699814,0.1648164540529251,0.0191364549100399,0.033167824149131775,0.007793936412781477,0.0,0.0,0.03791850432753563,0.005281130783259869,2.774549722671509,0.056353066116571426,2.7822864055633545,-0.44762569665908813,0.44695720076560974,-1.1872670650482178,0.445757120847702,18.0,1.0,1.0,0.14508993923664093,0.13307495415210724
42,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_mixscript_50176.pt,864,0.5190476179122925,0.05160719156265259,0.1299702376127243,0.021006181836128235,0.02998296730220318,0.01572282798588276,0.0,0.0,0.04232349619269371,0.013131543062627316,2.7455484867095947,0.03906508907675743,2.757667303085327,-0.5390186905860901,0.2797611951828003,-1.3865379095077515,0.4447278678417206,18.0,1.0,1.0,0.1298636943101883,0.1216922253370285
123,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_mixscript_15000.pt,590,0.501145601272583,0.015925699844956398,0.15916545689105988,0.011507764458656311,0.053451552987098694,0.007844466716051102,0.0,0.0,0.07205826789140701,0.01422012411057949,2.8250365257263184,0.012798312120139599,2.826399803161621,-0.3051185607910156,0.16011346876621246,-0.5973524451255798,0.23566924035549164,18.0,1.0,1.0,0.09843427687883377,0.09791137278079987
123,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed123_freshtrain_50176.pt,48,0.41328540444374084,0.041992396116256714,0.16244898736476898,0.025958508253097534,0.02290838211774826,0.01152419950813055,0.0004431096604093909,0.00303780660033226,0.1380244344472885,0.04693333059549332,2.7150771617889404,0.062366634607315063,2.7192177772521973,0.42337313294410706,0.2609991133213043,-1.1729470491409302,0.31108543276786804,17.9375,0.9791666865348816,0.9791666865348816,0.1491437703371048,0.14436554908752441
123,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed123_mixscript_50176.pt,208,0.5545328259468079,0.041488923132419586,0.1488894373178482,0.01932913437485695,0.03476636856794357,0.01567801833152771,0.0006166883395053446,0.006885347422212362,0.04823017120361328,0.0235415268689394,2.784005880355835,0.03805339336395264,2.7816126346588135,-0.4651237726211548,0.24368637800216675,-1.2545884847640991,0.44230759143829346,17.971153259277344,0.9903846383094788,0.9903846383094788,0.11679763346910477,0.11335527896881104
7,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed7_mixscript_15000.pt,829,0.5748387575149536,0.06638143211603165,0.10774781554937363,0.02549297735095024,0.05319622531533241,0.015310047194361687,0.0,0.0,0.07469496876001358,0.020593974739313126,2.7881836891174316,0.03777838870882988,2.7945849895477295,-0.9997595548629761,0.4355935752391815,-0.7976370453834534,0.4114741384983063,18.0,1.0,1.0,0.11875703930854797,0.11924955248832703
7,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed7_freshtrain_50176.pt,876,0.6716733574867249,0.05262379348278046,0.08633898198604584,0.01443999633193016,0.03421652317047119,0.013401428237557411,0.0,0.0,0.048417188227176666,0.016701282933354378,2.589332103729248,0.14368031919002533,2.596642017364502,-1.6220273971557617,0.5124266147613525,-1.9146928787231445,0.4695386290550232,18.0,1.0,1.0,0.23152241110801697,0.19568386673927307
7,50176,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed7_mixscript_50176.pt,1017,0.6084043979644775,0.06263156980276108,0.09019611030817032,0.01860566809773445,0.04156748577952385,0.020023146644234657,0.0,0.0,0.07033713161945343,0.01826171949505806,2.755255699157715,0.037825994193553925,2.7629899978637695,-1.3159476518630981,0.330291211605072,-1.224191665649414,0.5873355865478516,18.0,1.0,1.0,0.13059166073799133,0.13034950196743011
999,15104,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed999_mixscript_15000.pt,690,0.49613258242607117,0.024185283109545708,0.17111068964004517,0.014721217565238476,0.024897849187254906,0.005606505088508129,0.0,0.0,0.06720983982086182,0.011836571618914604,2.7793192863464355,0.0441991351544857,2.7701964378356934,-0.3370443880558014,0.12051910161972046,-1.6608904600143433,0.40029090642929077,18.0,1.0,1.0,0.13371117413043976,0.13556534051895142
