seed,checkpoint_label,checkpoint_timesteps,checkpoint_sha256,n_episodes,mean_reward,std_reward,mean_length,std_length,total_pass_completed,total_shot_events,total_goals,seeds_with_pass_completed,seeds_with_shot_event,seeds_with_goal,mean_pi_pass,std_pi_pass,mean_pi_shot,std_pi_shot,mean_pi_move,mean_football_rate_legal,std_football_rate_legal,pass_legal_frames,shot_legal_frames,pass_selected_legal,shot_selected_legal,pass_rate_all_legal,shot_rate_all_legal,football_rate_all_legal
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_5000.pt,5120,0e9f0564cfa52bea75ad145a4fba6195debe531030cb910d8b917c918ad382e8,20,-0.5057281255722046,0.20183086395263672,51.0,0.0,0,0,0,0,0,0,0.008823529817163944,0.011558652855455875,0.0,0.0,0.949019730091095,0.00513265747576952,0.006802699062973261,967,967,9,0,0.009307135470527405,0.0,0.004653567735263702
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_10000.pt,10240,82b2f6be3e969acbf26494b03174376a42f3c494b5de8c0c8b99c99a3686b79d,20,-0.436768114566803,0.20950864255428314,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9921568632125854,0.0,0.0,1020,1020,0,0,0.0,0.0,0.0
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_15000.pt,15104,e8d691008d3e482866e6d04af5e67f35473161e1ea2bc7b9612e860bf4dbec82,20,-0.47701898217201233,0.1919216513633728,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.008823530748486519,0.009754779748618603,0.9166666865348816,0.004605018999427557,0.005093788728117943,1001,1001,0,9,0.0,0.008991008991008992,0.004495504495504496
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_20000.pt,20224,39f824ab6ab2288c39a51ddea19609e9fc295c52d17201e5ab78a4279192d8e9,20,-0.4945618510246277,0.20168988406658173,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.018627451732754707,0.004273430909961462,0.8803921937942505,0.010002805851399899,0.0023652093950659037,956,956,0,19,0.0,0.0198744769874477,0.00993723849372385
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_25000.pt,25088,7f9f04981842450576010ad4eddf40fa637b0be0f00d51521ea2ad7d1fcc9375,20,-0.49737533926963806,0.19325821101665497,51.0,0.0,2,0,0,2,0,0,0.0,0.0,0.019607843831181526,0.0,0.8637255430221558,0.010936988517642021,0.0004656765377148986,916,916,0,20,0.0,0.021834061135371178,0.010917030567685589
7,mappo_academy_3_vs_1_with_keeper_seed7_expl_ablation_30000.pt,29952,8f5a6c95b71da3856ae40b278be9bcd03783810199860f45796191c2f6e8b3c3,20,-0.4989808201789856,0.16930389404296875,51.0,0.0,2,0,0,2,0,0,0.0,0.0,0.019607843831181526,0.0,0.8568627238273621,0.010970639064908028,0.0004442527424544096,913,913,0,20,0.0,0.02190580503833516,0.01095290251916758
7,mappo_academy_3_vs_1_with_keeper_seed7_freshtrain_50176.pt,50176,f6e492e5a939c20a1f9cf0a5abb6a9309e3b5f433a395f4d6440431b4cfc3434,20,-0.4530085623264313,0.1925026923418045,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9852940440177917,0.0,0.0,1020,1020,0,0,0.0,0.0,0.0
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_5000.pt,5120,132cdc682e8fb9ff5ba03698076666c93ed4c182fa1ee20c9c050c476a5a2715,20,-0.7208355665206909,0.22926610708236694,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.498039186000824,0.0,0.0,1020,1020,0,0,0.0,0.0,0.0
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_10000.pt,10240,de71a2b6a20c1da4f13c46a0a0c76a72d7cfaf4edaa873fc97900f730909e739,20,-0.8527528047561646,0.16082677245140076,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.019607843831181526,0.0,0.0,1005,1005,0,0,0.0,0.0,0.0
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_15000.pt,15104,5ef5c996b4cd1cdb0e284da14660430962d2d029caed52c8b23401532cb9c132,20,-0.7344740033149719,0.2052518129348755,51.0,0.0,1,0,0,1,0,0,0.0009803922148421407,0.004273430909961462,0.0,0.0,0.4392157196998596,0.0005208333604969084,0.0022702598944306374,1017,1017,1,0,0.0009832841691248771,0.0,0.0004916420845624386
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_20000.pt,20224,3e02fe6f08d2e0c7eca71903337873c38656f2b9046aa88f673b37e16a877390,20,-0.7857325673103333,0.17421431839466095,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.46568626165390015,0.0,0.0,963,963,0,0,0.0,0.0,0.0
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_25000.pt,25088,8de63b6fae46c63889aa7333adbc6b34e438f7ed2d583e8a7b3759f4ff4ff48a,20,-0.839794933795929,0.14917497336864471,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8088235855102539,0.0,0.0,966,966,0,0,0.0,0.0,0.0
42,mappo_academy_3_vs_1_with_keeper_seed42_expl_ablation_30000.pt,29952,0dfcd042e77c4c41dfd3ba22503da8f77a9c6e96d74ad35c9dfa8dc1895874aa,20,-0.8287509679794312,0.1521575152873993,51.0,0.0,0,0,0,0,0,0,0.0009803922148421407,0.004273430909961462,0.0,0.0,0.8362745046615601,0.0005102040595375001,0.0022239277604967356,962,962,1,0,0.0010395010395010396,0.0,0.0005197505197505198
42,mappo_academy_3_vs_1_with_keeper_seed42_freshtrain_50176.pt,50176,95560084c042922f3460e1df57954a23e837537617bea52e0f4bdc613fb5841b,20,-0.7613587379455566,0.223638117313385,51.0,0.0,4,0,0,4,0,0,0.0058823530562222,0.008985443040728569,0.0,0.0,0.4725490212440491,0.004357573110610247,0.006688205059617758,922,922,6,0,0.006507592190889371,0.0,0.0032537960954446853
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_5000.pt,5120,3466b12e3205390e11aac7aaa01e31d896857c7e644d8b74f63657e6f08e9054,20,-0.5423381328582764,0.17991270124912262,51.0,0.0,9,0,0,7,0,0,0.01666666753590107,0.012820292264223099,0.0058823530562222,0.008985443040728569,0.8725490570068359,0.02037959173321724,0.005102112889289856,569,569,17,6,0.029876977152899824,0.01054481546572935,0.020210896309314587
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_10000.pt,10240,984aab49b530940b1dc91a3b6672c9e9610eaf0cdac9b365a9c5959edb6ab305,20,-0.5333463549613953,0.21488602459430695,51.0,0.0,14,0,0,10,0,0,0.019607845693826675,0.008768893778324127,0.0,0.0,0.46764707565307617,0.01585674285888672,0.00681791827082634,673,673,20,0,0.029717682020802376,0.0,0.014858841010401188
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_15000.pt,15104,774e518f79fee7c6d71ca2322ff404d443627c2e5898ace85c555f74dc87e0c7,20,-0.46410101652145386,0.2293175458908081,51.0,0.0,2,0,0,2,0,0,0.003921568859368563,0.00784313678741455,0.002941176760941744,0.007001400925219059,0.16470590233802795,0.006715946830809116,0.012044774368405342,918,918,4,3,0.004357298474945534,0.0032679738562091504,0.003812636165577342
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_20000.pt,20224,76e84bcbeee153286952a1caac12cffaa75c14453bb7fd7df844b1b2cb0aeaa7,20,-1.05230712890625,1.7735506296157837,138.5,381.4036560058594,0,1,0,0,1,0,0.002941176760941744,0.007001400925219059,0.002968939021229744,0.006990775931626558,0.22305694222450256,0.0038742937613278627,0.005303211975842714,981,981,3,4,0.0030581039755351682,0.004077471967380225,0.003567787971457696
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_25000.pt,25088,eab4a761982cbf385ee7fc091d379b6fe57d87c178c0e73002ee8c6ba575cd46,20,-0.6566293239593506,0.243169903755188,51.0,0.0,0,0,0,0,0,0,0.0009803922148421407,0.004273430909961462,0.002941176760941744,0.007001400925219059,0.14411765336990356,0.002176485490053892,0.0043561882339417934,999,999,1,3,0.001001001001001001,0.003003003003003003,0.002002002002002002
123,mappo_academy_3_vs_1_with_keeper_seed123_expl_ablation_30000.pt,29952,02eb96ed294d78c0c515880c0f871a9d920bf721656b2fa576dc1b3f6f4bd728,20,-0.6045282483100891,0.8899387121200562,57.29999923706055,22.24657440185547,1,4,3,1,3,3,0.0009803922148421407,0.004273430909961462,0.006816060282289982,0.00877436064183712,0.09038282930850983,0.00484208669513464,0.00536249577999115,980,980,1,8,0.0010204081632653062,0.00816326530612245,0.004591836734693878
123,mappo_academy_3_vs_1_with_keeper_seed123_freshtrain_50176.pt,50176,0b4ac40cce77c194321594e27742fc60f046e500d49349e4a040efbb7aba7a12,20,-0.42302408814430237,0.34658870100975037,51.0,0.0,12,0,0,10,0,0,0.02450980618596077,0.008490446023643017,0.0,0.0,0.2607843279838562,0.3708563446998596,0.19873137772083282,107,107,25,0,0.2336448598130841,0.0,0.11682242990654206
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_5000.pt,5120,4519697d598becd64054f7cfc8dace8c38ba965bb0e3803ca41ee8b544323d0b,20,-0.7108898758888245,0.09314867854118347,51.0,0.0,0,0,0,0,0,0,0.009803921915590763,0.009803921915590763,0.003921568859368563,0.00784313678741455,0.5666667222976685,0.01848749816417694,0.01577172614634037,562,562,10,4,0.017793594306049824,0.0071174377224199285,0.012455516014234875
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_10000.pt,10240,4fa2f1bbe3f79d6268808a4f33efa9e132b6537bbf4891abd7077d2bdf20c26f,20,-0.8005738258361816,0.1606472134590149,51.0,0.0,3,0,0,3,0,0,0.0068627456203103065,0.009352345950901508,0.0019607844296842813,0.0058823530562222,0.8960784077644348,0.00494007533416152,0.005474526435136795,972,972,7,2,0.00720164609053498,0.00205761316872428,0.004629629629629629
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_15000.pt,15104,1ea6297a96e67582b2a6e6e6643826119202fe9e72955955247a49078e01b6f5,20,-0.5309521555900574,0.8461523652076721,52.25,3.779881000518799,2,2,2,2,2,2,0.0068627456203103065,0.009352345950901508,0.005497250705957413,0.00845667440444231,0.9226877093315125,0.007300582714378834,0.00542127899825573,940,940,7,6,0.007446808510638298,0.006382978723404255,0.006914893617021276
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_20000.pt,20224,62e293149db62a6fa2b1727ad29ae31c5d9ba5732fe74c944d7c2091b785796c,20,-0.4690474569797516,1.0492600202560425,58.150001525878906,23.100378036499023,1,5,4,1,4,4,0.0019607844296842813,0.0058823530562222,0.012491344474256039,0.008697695098817348,0.8692458271980286,0.008760293945670128,0.004565144423395395,944,944,2,14,0.00211864406779661,0.014830508474576272,0.00847457627118644
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_25000.pt,25088,fa37adec3dcc2db558928b333eaf972247bd7c540548a7993e713351007a79a8,20,-0.7446106672286987,0.6642557978630066,57.0,23.14303207397461,2,2,2,2,2,2,0.003921568859368563,0.00784313678741455,0.005009270738810301,0.00810330267995596,0.8660722970962524,0.006116737611591816,0.006520534865558147,940,940,4,6,0.00425531914893617,0.006382978723404255,0.005319148936170213
999,mappo_academy_3_vs_1_with_keeper_seed999_expl_ablation_30000.pt,29952,b2e3a1abe817deb57eb5df507e0307bd0a2d9908904ed0a3703b8279d52845d0,20,-0.6026883721351624,0.9094074964523315,57.45000076293945,22.488832473754883,1,4,3,1,3,3,0.002941176760941744,0.007001400925219059,0.004828351549804211,0.007802531123161316,0.8904768228530884,0.005607981700450182,0.006581984926015139,942,942,3,6,0.0031847133757961785,0.006369426751592357,0.004777070063694267
999,mappo_academy_3_vs_1_with_keeper_seed999_freshtrain_50176.pt,50176,516657123b30c109cac908bee4d6bc1e2b467eb1ac25f05043b043a26cfbab83,20,-0.47954779863357544,0.27041223645210266,51.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3656862676143646,0.0,0.0,1020,1020,0,0,0.0,0.0,0.0
