seed,arm,episodes_attempted,valid_t0_count,valid_force_count,force_success_count,force_success_rate,policy_pass_count,policy_shot_count,policy_tackle_count,goal_count,possession_t1,possession_t5,possession_t20,mean_force_reward,mean_post_force_reward,mean_delta_ball_x,timesteps,checkpoint_sha256
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0056,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0055,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,left_1,left_1,left_1,0.015606601717798211,-0.013,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0052,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0053,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0055,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0053,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,left_1,left_1,left_1,0.015606601717798211,-0.0129,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0053,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0053,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0051,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,left_1,left_1,left_1,0.015,-0.0132,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
123,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,left_1,left_1,left_1,0.012276068751089986,-0.0136,,50176,629a928805cec6169a84d931f25c1f997912006fa9ccd33ef56efcfc56966896
42,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0054,,50176,ca8bef84972a47757a61b006d7da10d935f4abe71feed0656151593848eeeaf2
42,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0053,,50176,ca8bef84972a47757a61b006d7da10d935f4abe71feed0656151593848eeeaf2
42,ONBALL-Pass,1,1,1,0,0.0,0,0,0,0,,,,-0.005,-0.0052,,50176,ca8bef84972a47757a61b006d7da10d935f4abe71feed0656151593848eeeaf2
