arm,checkpoint,checkpoint_sha256,checkpoint_timesteps,scenario,num_episodes,deterministic,base_seed,left_possession_fraction,controlled_owner_fraction,pass_legal_fraction,shot_legal_fraction,mean_d_self_ball,std_d_self_ball,mean_d_self_goal,std_d_self_goal,pass_completed_count,shot_event_count,goal_count,mean_reward,std_reward,reward_entropy,mean_value,std_value,mean_gae_advantage,std_gae_advantage,std_value_on_ball,std_value_off_ball,std_value_timeout,mean_advantage_on_ball,mean_advantage_off_ball,std_advantage_on_ball,std_advantage_off_ball,timestamp_iso,git_commit
CTRL,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper,2,True,500000,0.0,0.0,0.0,0.0,1.3699323529411769,0.07987618133989666,0.8943372549019611,0.04786599538328922,0,0,0,-0.015036595230236788,0.06932257643572262,1.6328924081281941,-0.6828331082474952,0.012214009413803545,-0.1438673281329958,0.13443200101345787,,0.012214009413803545,0.0004887282848358154,,-0.1438673281329958,,0.13443200101345787,2026-09-17T14:52:39.055769Z,939dc22df1d7a52e32b47b1a03e9537638551092
INT,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper_onball,2,True,500000,0.0,0.0,0.0,0.0,1.454507142857143,0.044809354852674746,0.8455666666666668,0.018988902356334672,0,0,0,-0.005198050421256837,8.330122726848265e-05,1.235738329580875,-0.6714904208978018,0.009499221444746818,0.3945113711413883,0.143547946693082,,0.009499221444746818,,,0.3945113711413883,,0.143547946693082,2026-09-17T15:58:45.323080Z,939dc22df1d7a52e32b47b1a03e9537638551092
CTRL,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper,50,True,500000,0.46920821114369504,0.46920821114369504,0.5175953079178885,0.5175953079178885,1.50820931085044,0.06587341940405515,0.7852570381231672,0.05633764193809654,0,0,0,-0.00851291682704271,0.04869547582401659,4.042651351561997,-0.659741447643101,0.015172891465713908,0.15143846470863992,0.3173890505701598,0.011244369588211508,0.008936477445597094,0.007033036291779365,-0.09716353180047008,0.3711971356559195,0.20887079246164672,0.21975534134910446,2026-09-17T15:59:21.319224Z,939dc22df1d7a52e32b47b1a03e9537638551092
INT,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper_onball,50,True,500000,0.4629993451211526,0.4629993451211526,0.5009823182711198,0.5009823182711198,1.4981039947609693,0.0651571067221834,0.7931519973804846,0.04965442800960812,0,0,0,-0.00876874967714501,0.04953950534046101,3.9379948927127097,-0.6607022440816034,0.015677424595873988,0.13156787647921214,0.30842283217014455,0.010441255907302004,0.009227536260740405,0.009062083408600386,-0.11953274523536378,0.348065607640438,0.19002547929365124,0.2115964840985576,2026-09-17T16:00:07.511968Z,939dc22df1d7a52e32b47b1a03e9537638551092
CTRL,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper,50,True,500000,0.46920821114369504,0.46920821114369504,0.5175953079178885,0.5175953079178885,1.50820931085044,0.06587341940405515,0.7852570381231672,0.05633764193809654,0,0,0,-0.00851291682704271,0.04869547582401659,4.042651351561997,-0.659741447643101,0.015172891465713908,0.15143846470863992,0.3173890505701598,0.011244369588211508,0.008936477445597094,0.007033036291779365,-0.09716353180047008,0.3711971356559195,0.20887079246164672,0.21975534134910446,2026-09-17T16:11:01.939379Z,939dc22df1d7a52e32b47b1a03e9537638551092
INT,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper_onball,50,True,500000,0.4629993451211526,0.4629993451211526,0.5009823182711198,0.5009823182711198,1.4981039947609693,0.0651571067221834,0.7931519973804846,0.04965442800960812,0,0,0,-0.00876874967714501,0.04953950534046101,3.9379948927127097,-0.6607022440816034,0.015677424595873988,0.13156787647921214,0.30842283217014455,0.010441255907302004,0.009227536260740405,0.009062083408600386,-0.11953274523536378,0.348065607640438,0.19002547929365124,0.2115964840985576,2026-09-17T16:11:28.508609Z,939dc22df1d7a52e32b47b1a03e9537638551092
CTRL,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper,2,True,500000,0.0,0.0,0.0,0.0,1.4648583333333334,0.039592243733954875,0.8425555555555556,0.018164058596342333,0,0,0,-0.005144378761510912,8.20388240255867e-05,1.1757876599458332,-0.6694846385055118,0.009256846040247263,0.42195404569307965,0.13252571209892128,,0.009256846040247263,,,0.42195404569307965,,0.13252571209892128,2026-09-17T17:01:44.621031Z,77b21d15e3ad5c6e583d02d07474d2e60e2eb52c
INT,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper_onball,2,True,500000,0.0,0.0,0.0,0.0,1.454507142857143,0.044809354852674746,0.8455666666666668,0.018988902356334672,0,0,0,-0.005198050421256837,8.330122726848265e-05,1.235738329580875,-0.6714904208978018,0.009499221444746818,0.3945113711413883,0.143547946693082,,0.009499221444746818,,,0.3945113711413883,,0.143547946693082,2026-09-17T17:02:12.653235Z,77b21d15e3ad5c6e583d02d07474d2e60e2eb52c
CTRL,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper,2,True,500000,0.0,0.0,0.0,0.0,0.0,0,0,2,15.0,1.4648583333333334,0.039592243733954875,0.8425555555555556,0.018164058596342333,0,0,0,-0.005144378761510912,8.20388240255867e-05,1.1757876599458332,-0.6694846385055118,0.009256846040247263,0.42195404569307965,0.13252571209892128,,0.009256846040247263,,,0.42195404569307965,,0.13252571209892128,2026-09-17T17:54:51.967539Z,77b21d15e3ad5c6e583d02d07474d2e60e2eb52c
INT,training/models/mappo_academy_3_vs_1_with_keeper_seed42_best.pt,e5e0b7c1f0547384125d4b865a4aec9417afe454084446734f8474f32f91c939,100352,academy_3_vs_1_with_keeper_onball,2,True,500000,0.0,0.0,0.0,0.0,0.0,0,0,2,15.0,1.454507142857143,0.044809354852674746,0.8455666666666668,0.018988902356334672,0,0,0,-0.005198050421256837,8.330122726848265e-05,1.235738329580875,-0.6714904208978018,0.009499221444746818,0.3945113711413883,0.143547946693082,,0.009499221444746818,,,0.3945113711413883,,0.143547946693082,2026-09-17T17:55:56.565311Z,77b21d15e3ad5c6e583d02d07474d2e60e2eb52c
