seed,trajectory_step,basename,path,sha256,size_bytes,mtime,labeled_set
42,5000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_5000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_5000.pt,be4a00245e579308bca8b1a6c6e636684fe7317f3c242ea54bfdb42335df5127,432263,2026-09-20T14:40:19.978493,retest
42,10000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_10000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_10000.pt,02e281c93a4ece25a78cf34c1e456494dc21ef1c424731059f9df5c23f0e0e27,432389,2026-09-20T14:40:53.032583,retest
42,15000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_15000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_15000.pt,7f005b376d62cf399f3b681635539d94c7af777c8fcdd436e7a3e917c5c329ed,432389,2026-09-20T14:41:22.641408,retest
42,20000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_20000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_20000.pt,03035744623e1f746af80a6b9c991a744bb9cbc36c777343ee7eca578f5385f6,432389,2026-09-20T14:41:49.747246,retest
42,25000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_25000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_25000.pt,c5c97f7aa94085c1b6dea6f2492dd3944cc20d4815387c31857eb62624c462e2,432389,2026-09-20T14:42:16.837514,retest
42,30000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_30000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_30000.pt,33d769259cf91fd49f5846256c2cc78a681596735376c92204997fb737a2e846,432389,2026-09-20T14:42:44.114968,retest
42,35000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_35000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_35000.pt,080c74a2a93bb93fa2c99d062533f29d2c4817ed36aaddfc66b264d11aa315ea,432389,2026-09-20T14:43:10.463124,retest
42,40000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_40000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_40000.pt,680e8f444fe3672895fd2372c4b95974404b531000809ff9983834a758a00dae,432389,2026-09-20T14:43:38.112892,retest
42,45000,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_45000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight_45000.pt,d5f4454ad49b4df372043d76f62a6016d0daaa3f3402afb24714ebf76dbdbd45,432389,2026-09-20T14:44:03.953814,retest
42,final,mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed42_actorreweight.pt,eb9e1403b6a65c3c288397b752c64319cf8f9022116492fa05a355c08682fd24,431825,2026-09-20T14:44:29.275745,retest
123,5000,mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_5000.pt,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_onball_seed123_actorreweight_5000.pt,596fbad0068d834cd50f6e6787df82da12715eb998cf55fa122bc326ccbf723a,432389,2026-09-20T14:45:04.353557,retest
