checkpoint_label,seed,source,cell,count,reward_mean,reward_std,reward_median,value_mean,value_std,value_median,logprob_mean,logprob_std,logprob_median,advantage_mean,advantage_std,advantage_median,fraction_negative
fresh,42,probe_force,PASS_fail,18,-0.001605941369893989,0.007898224280228338,-0.005,-0.6234055691295199,0.00047735232924203127,-0.6234447360038757,-2.4940587414635553,0.0010353410646189662,-2.494050145149231,0.14065011999466354,0.16072147679944288,0.02643529698252678,0.0
fresh,42,probe_force,PASS_complete,2,-0.005,0.0,-0.005,-0.6229318678379059,0.0006978809833526611,-0.6229318678379059,-2.4947983026504517,0.00219118595123291,-2.4947983026504517,0.23865406960248947,0.007411472499370575,0.23865406960248947,0.0
fresh,42,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.6230284124612808,0.000519062721409057,-0.6230368614196777,-3.3229642510414124,0.001515443257049375,-3.322707176208496,0.1296752616763115,0.06025580583872241,0.09074138104915619,0.0
fresh,42,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.6235780566930771,0.000395182066603635,-0.6236934065818787,-3.32297952969869,0.0011570211944760495,-3.3229395151138306,0.13847361442943415,0.3160160247750602,0.11316747218370438,0.4166666666666667
fresh,42,pure_pi,OTHER,856,-0.03827603940099447,0.17277416231733062,-0.005223753372757914,-0.5808981598885817,0.11878369850782797,-0.6209676861763,-1.5963941940637392,0.41206725209201533,-1.6561562418937683,0.07169285066976325,0.16354430999603622,0.062377072870731354,0.30490654205607476
fresh,42,pure_pi,MOVE_safe,2856,-0.004325243597632058,0.01321066378720282,-0.005165651590428514,-0.7238892993631483,0.1124182919271163,-0.7162558734416962,-1.8474231727149975,0.21924567244118215,-1.797166109085083,0.05010976415549888,0.17172624958474764,0.015483626164495945,0.4114145658263305
fresh,42,pure_pi,PASS_fail,6,-0.0012210624205596207,0.006435129064718409,-0.0057342156421317375,-0.6282569865385691,0.0206804439643411,-0.6271790862083435,-2.3395982583363852,0.12031123307391468,-2.4123926162719727,0.10214311241482694,0.07541432738258676,0.08835668489336967,0.16666666666666666
fresh,42,pure_pi,PASS_complete,2,-0.005737129225237414,0.0,-0.005737129225237414,-0.6392184495925903,0.0007392764091491699,-0.6392184495925903,-2.4016547203063965,0.0019030570983886719,-2.4016547203063965,0.13642407953739166,0.004373326897621155,0.13642407953739166,0.0
mixscript,42,probe_force,PASS_fail,20,-0.001828154188755642,0.00774385042892022,-0.005,-0.5874741792678833,0.0017825411602177131,-0.5879254341125488,-2.4604249715805055,0.0007911793832941048,-2.4604437351226807,0.018332121428102255,0.08020636556442348,-0.01442937832325697,0.85
mixscript,42,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.586654543876648,0.002161511276726744,-0.5876957774162292,-3.709753602743149,0.0007362847479338389,-3.7100692987442017,0.07977244630455971,0.03163359779787457,0.07690490037202835,0.0
mixscript,42,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.5880206028620402,0.0011977287337056892,-0.588230162858963,-3.7094810605049133,0.0008302190027768923,-3.7095179557800293,0.11506383369366328,0.3058510015923062,0.0567011833190918,0.3333333333333333
mixscript,42,pure_pi,OTHER,1967,-0.021363982555980286,0.11506933885520075,-0.0051407572205934325,-0.6783859101599948,0.10798323014072402,-0.6457193493843079,-1.9938909266282292,0.19918091014300165,-2.0155205726623535,0.03396534678709635,0.10674064083245945,0.02736971527338028,0.3284189120488053
mixscript,42,pure_pi,MOVE_safe,1925,-0.0035505387828863116,0.011678536079407812,-0.0050684638208867185,-0.7099670893186099,0.10322524632957158,-0.6867703199386597,-1.9835215159824917,0.18148035360408382,-2.019747495651245,0.05311601492536992,0.17551061449642882,0.0216992050409317,0.30857142857142855
fresh,123,probe_force,PASS_fail,18,-0.0014331677726774654,0.008173217659619009,-0.005,-0.6043890019257864,0.0006638841688935954,-0.6046082973480225,-2.20638018184238,0.0007094078417885678,-2.206428289413452,0.11779378499421808,0.10332476323870994,0.06726257875561714,0.0
fresh,123,probe_force,PASS_complete,2,-0.005,0.0,-0.005,-0.6039473116397858,0.0006624758243560791,-0.6039473116397858,-2.206366539001465,0.0007753372192382812,-2.206366539001465,0.2204456552863121,0.001216001808643341,0.2204456552863121,0.0
