step,episodes,mean_reward,goal_rate_pct
1008,21,-0.1316,0.00
2016,57,-0.0316,0.00
3024,105,0.0499,0.00
4032,156,0.0054,0.00
5040,207,0.0167,0.00
6048,243,0.0559,0.00
7056,279,-0.0355,0.00
8064,312,-0.0378,0.00
9072,348,0.1179,0.00
10080,363,0.1134,0.00
11088,387,0.1166,0.00
12096,417,-0.0115,0.00
13104,450,-0.0221,0.00
14112,483,-0.0030,0.00
15120,510,-0.0799,0.00
16128,564,0.0079,0.00
17136,600,-0.0029,0.00
18144,639,0.0832,0.00
19152,678,-0.0214,0.00
20160,702,-0.0447,0.00
21168,750,0.0278,0.00
