step,episodes,mean_reward,goal_rate_pct
10240,380,0.0525,2.00
20480,778,0.0971,2.00
30720,1063,0.1229,6.00
40960,1397,0.1475,6.00
51200,1694,0.0654,2.00
61440,2058,0.1075,2.00
71680,2464,0.0660,0.00
81920,2779,0.1190,2.00
92160,3117,0.0849,0.00
102400,3312,0.2554,12.00
112640,3646,0.1343,6.00
122880,4020,0.0820,2.00
133120,4393,0.2111,8.00
143360,4598,0.1728,4.00
153600,4790,0.2299,8.00
163840,5005,0.1355,2.00
174080,5177,0.1940,6.00
184320,5360,0.2348,8.00
194560,5585,0.2081,8.00
204800,5841,0.2908,12.00
215040,6068,0.2661,8.00
225280,6311,0.2558,6.00
235520,6524,0.1872,6.00
245760,6712,0.2645,12.00
256000,6883,0.3163,16.00
266240,7108,0.2460,10.00
276480,7327,0.3356,18.00
286720,7538,0.2509,12.00
296960,7734,0.2295,12.00
307200,7920,0.2373,12.00
317440,8105,0.3775,24.00
327680,8322,0.3072,16.00
337920,8572,0.2980,16.00
348160,8800,0.3027,16.00
358400,8965,0.4303,24.00
368640,9184,0.3781,20.00
378880,9364,0.2286,6.00
389120,9522,0.3744,22.00
399360,9714,0.3913,22.00
409600,9880,0.3889,24.00
419840,10064,0.4079,26.00
430080,10217,0.5338,32.00
440320,10397,0.4322,26.00
450560,10600,0.3326,20.00
460800,10806,0.4587,26.00
471040,10973,0.4814,26.00
481280,11151,0.4478,26.00
491520,11260,0.5140,34.00
