step,episodes,mean_reward,goal_rate_pct,total_pass_completed,total_goals,total_turnovers
10240,410,-0.0244,0.00,99,0,533
20480,670,0.0325,2.00,99,0,533
30720,871,0.0561,4.00,99,0,533
40960,1116,0.1579,8.00,99,0,533
51200,1486,0.1685,8.00,99,0,533
61440,1730,0.2365,12.00,99,0,533
71680,2020,0.3439,16.00,99,0,533
81920,2219,0.1170,8.00,99,0,533
92160,2382,0.1746,8.00,99,0,533
102400,2590,0.2990,14.00,99,0,533
112640,2838,0.2232,10.00,99,0,533
122880,3196,0.2289,10.00,99,0,533
133120,3511,0.1947,8.00,99,0,533
143360,3721,0.1492,6.00,99,0,533
153600,3993,0.3070,14.00,99,0,533
163840,4351,0.2690,12.00,99,0,533
174080,4640,0.2801,12.00,99,0,533
184320,4954,0.1616,6.00,99,0,533
194560,5168,0.1407,6.00,99,0,533
