step,episodes,mean_reward,goal_rate_pct
10240,427,0.0547,2.00
20480,793,0.1383,8.00
30720,1096,0.0862,2.00
40960,1380,0.1879,8.00
51200,1634,0.2251,8.00
61440,1920,0.1538,6.00
71680,2165,0.2603,14.00
81920,2311,0.2652,14.00
92160,2512,0.2227,12.00
102400,2796,0.2733,14.00
112640,3007,0.3074,18.00
122880,3196,0.4419,28.00
133120,3379,0.3385,20.00
143360,3518,0.3805,22.00
153600,3707,0.4098,26.00
163840,3935,0.2790,16.00
174080,4086,0.5814,38.00
184320,4278,0.4138,26.00
194560,4448,0.3634,24.00
204800,4557,0.3725,22.00
215040,4777,0.3097,20.00
225280,4957,0.2712,18.00
235520,5183,0.3729,26.00
245760,5377,0.4727,30.00
256000,5579,0.4665,30.00
266240,5736,0.3240,18.00
276480,5874,0.5120,34.00
286720,6077,0.4268,28.00
296960,6259,0.4078,26.00
307200,6425,0.4195,28.00
317440,6614,0.4754,32.00
327680,6770,0.4046,26.00
337920,6927,0.5933,42.00
348160,7085,0.5356,36.00
358400,7256,0.5787,40.00
368640,7447,0.4071,28.00
378880,7621,0.4804,34.00
389120,7796,0.4592,32.00
399360,7948,0.5729,40.00
409600,8108,0.5220,36.00
419840,8313,0.6096,40.00
430080,8455,0.5302,34.00
440320,8578,0.5813,40.00
450560,8736,0.7400,50.00
460800,8893,0.5281,34.00
471040,9033,0.5106,32.00
481280,9209,0.5077,32.00
491520,9356,0.5449,34.00
